"fixture_id","league_id","event_date","event_timestamp","firstHalfStart","secondHalfStart","round","status","statusShort","elapsed","venue","referee","goalsHomeTeam","goalsAwayTeam","homeTeam_id","awayTeam_id","scoreHaltime","scoreFulltime","scoreExtratime","scorePenalty"
327992,1396,"2020-08-08T22:30:00+00:00",1596925800,1596925800,1596929400,"Regular Season - 1","Match Finished","FT",90,"Estádio Major Antônio Couto Pereira","Bruno Arleu de Araujo",0,1,147,119,"0-0","0-1",NA,NA
327991,1396,"2020-08-09T00:00:00+00:00",1596931200,1596931200,1596934800,"Regular Season - 1","Match Finished","FT",90,"Estádio Adelmar da Costa Carvalho","Edina Alves Batista",3,2,123,129,"3-1","3-2",NA,NA
327993,1396,"2020-08-09T00:00:00+00:00",1596931200,1596931200,1596934800,"Regular Season - 1","Match Finished","FT",90,"Estádio Governador Plácido Aderaldo Castelo","Braulio da Silva Machado",0,2,154,134,"0-2","0-2",NA,NA
327985,1396,"2020-08-09T19:00:00+00:00",1596999600,1596999600,1597003200,"Regular Season - 1","Match Finished","FT",90,"Estadio Jornalista Mário Filho","Raphael Claus",0,1,127,1062,"0-1","0-1",NA,NA
327988,1396,"2020-08-09T19:00:00+00:00",1596999600,1596999600,1597003200,"Regular Season - 1","Match Finished","FT",90,"Estádio Urbano Caldeira","Ricardo Marques Ribeiro",1,1,128,794,"0-0","1-1",NA,NA
327994,1396,"2020-08-09T19:00:00+00:00",1596999600,NA,NA,"Regular Season - 1","Match Postponed","PST",0,"Estádio de Hailé Pinheiro","Caio Max Augusto Vieira",NA,NA,151,126,NA,NA,NA,NA
327987,1396,"2020-08-09T22:45:00+00:00",1597013100,NA,NA,"Regular Season - 1","Match Postponed","PST",0,"Allianz Parque","Anderson Daronco",NA,NA,121,133,NA,NA,NA,NA
327990,1396,"2020-08-10T00:00:00+00:00",1597017600,1597017600,1597021200,"Regular Season - 1","Match Finished","FT",90,"Arena do Grêmio","Wilton Pereira Sampaio",1,0,130,124,"1-0","1-0",NA,NA
327998,1396,"2020-08-12T22:15:00+00:00",1597270500,1597270500,1597274100,"Regular Season - 2","Match Finished","FT",90,"Estádio Nabi Abi Chedid","André Castro",1,1,794,120,"1-0","1-1",NA,NA
327999,1396,"2020-08-12T22:15:00+00:00",1597270500,1597270500,1597274100,"Regular Season - 2","Match Finished","FT",90,"Estádio Governador Magalhães Pinto","Wagner do Nascimento Magalhaes",3,2,1062,131,"0-2","3-2",NA,NA
328002,1396,"2020-08-12T22:15:00+00:00",1597270500,1597270500,1597274100,"Regular Season - 2","Match Finished","FT",90,"Arena da Baixada","Diego Pombo Lopez",2,1,134,151,"1-1","2-1",NA,NA
328001,1396,"2020-08-12T23:30:00+00:00",1597275000,1597275000,1597278600,"Regular Season - 2","Match Finished","FT",90,"Estádio Governador Roberto Santos","Flavio Rodrigues De Souza",1,0,118,147,"1-0","1-0",NA,NA
328004,1396,"2020-08-12T23:30:00+00:00",1597275000,1597275000,1597278600,"Regular Season - 2","Match Finished","FT",90,"Estádio Olímpico Pedro Ludovico Teixeira","Luiz Flavio De Oliveira",3,0,144,127,"2-0","3-0",NA,NA
327995,1396,"2020-08-13T00:30:00+00:00",1597278600,1597278600,1597282200,"Regular Season - 2","Match Finished","FT",90,"Estadio Jornalista Mário Filho","Rafael Traci",1,1,124,121,"1-1","1-1",NA,NA
328003,1396,"2020-08-13T00:30:00+00:00",1597278600,1597278600,1597282200,"Regular Season - 2","Match Finished","FT",90,"Estádio Governador Plácido Aderaldo Castelo","Caio Max Augusto Vieira",1,1,129,130,"1-0","1-1",NA,NA
327997,1396,"2020-08-13T22:15:00+00:00",1597356900,1597356900,1597360500,"Regular Season - 2","Match Finished","FT",90,"Estádio Cícero Pompeu de Toledo","Leandro Vuaden",1,0,126,154,"1-0","1-0",NA,NA
328000,1396,"2020-08-13T22:30:00+00:00",1597357800,1597357800,1597361400,"Regular Season - 2","Match Finished","FT",90,"Estádio José Pinheiro Borda","Marcelo de Lima Henrique",2,0,119,128,"0-0","2-0",NA,NA
327996,1396,"2020-08-13T23:00:00+00:00",1597359600,1597359600,1597363200,"Regular Season - 2","Match Finished","FT",90,"Estádio Club de Regatas Vasco da Gama","Rodolpho Toski Marques",2,0,133,123,"2-0","2-0",NA,NA
328012,1396,"2020-08-15T22:30:00+00:00",1597530600,1597530600,1597534200,"Regular Season - 3","Match Finished","FT",90,"Estádio Major Antônio Couto Pereira","Rodrigo D'Alonso Ferreira",0,1,147,127,"0-1","0-1",NA,NA
328010,1396,"2020-08-16T00:00:00+00:00",1597536000,1597536000,1597539600,"Regular Season - 3","Match Finished","FT",90,"Arena do Grêmio","Bruno Arleu de Araujo",0,0,130,131,"0-0","0-0",NA,NA
328007,1396,"2020-08-16T00:30:00+00:00",1597537800,1597537800,1597541400,"Regular Season - 3","Match Finished","FT",90,"Allianz Parque","Paulo Roberto Alves Júnior",1,1,121,151,"1-1","1-1",NA,NA
328009,1396,"2020-08-16T14:00:00+00:00",1597586400,1597586400,1597590000,"Regular Season - 3","Match Finished","FT",90,"Estádio Governador Magalhães Pinto","Savio Pereira",2,0,1062,129,"0-0","2-0",NA,NA
328006,1396,"2020-08-16T19:00:00+00:00",1597604400,1597604400,1597608000,"Regular Season - 3","Match Finished","FT",90,"Estádio Club de Regatas Vasco da Gama","Wilton Pereira Sampaio",2,1,133,126,"0-0","2-1",NA,NA
328011,1396,"2020-08-16T19:00:00+00:00",1597604400,1597604400,1597608000,"Regular Season - 3","Match Finished","FT",90,"Estádio Governador Roberto Santos","Felipe Fernandes de Lima",2,1,118,794,"1-0","2-1",NA,NA
328005,1396,"2020-08-16T21:00:00+00:00",1597611600,1597611600,1597615200,"Regular Season - 3","Match Finished","FT",90,"Estadio Jornalista Mário Filho","Raphael Claus",2,1,124,119,"1-1","2-1",NA,NA
