"team_id","name","code","logo","country","founded","venue_name","venue_surface","venue_address","venue_city","venue_capacity","NA"
127,"Flamengo",NA,"https://media.api-sports.io/football/teams/127.png","Brazil",FALSE,1895,"Estadio Jornalista Mário Filho (Maracanã)","grass","Rua Professor Eurico Rabelo, Maracanã","Rio de Janeiro, Rio de Janeiro",78838
1062,"Atletico-MG",NA,"https://media.api-sports.io/football/teams/1062.png","Brazil",FALSE,1908,"Estádio Raimundo Sampaio","grass","Avenida Ismênia Tunes, Bairro Horto","Belo Horizonte, Minas Gerais",23018
120,"Botafogo",NA,"https://media.api-sports.io/football/teams/120.png","Brazil",FALSE,1904,"Estádio Nilton Santos","grass","Rua Arquias Cordeiro, Engenho de Dentro","Rio de Janeiro",46931
118,"Bahia",NA,"https://media.api-sports.io/football/teams/118.png","Brazil",FALSE,1931,"Arena Fonte Nova","grass","Rua Lions Club, Nazaré","Salvador, Bahia",56500
121,"Palmeiras",NA,"https://media.api-sports.io/football/teams/121.png","Brazil",FALSE,1914,"Allianz Parque","grass","Rua Turiaçu 1840, Perdizes","São Paulo, São Paulo",43713
133,"Vasco DA Gama",NA,"https://media.api-sports.io/football/teams/133.png","Brazil",FALSE,1898,"Estádio Club de Regatas Vasco da Gama","grass","Rua Gal Almério de Moura 131, Bairro Vasco da Gama","Rio de Janeiro, Rio de Janeiro",22076
128,"Santos",NA,"https://media.api-sports.io/football/teams/128.png","Brazil",FALSE,1912,"Nickerie Stadion","grass","F. O. Lashleystraat","Nieuw Nickerie",3400
794,"Bragantino",NA,"https://media.api-sports.io/football/teams/794.png","Brazil",FALSE,1928,"Estádio Nabi Abi Chedid","grass","Rua Emílio Coleta","Bragança Paulista, São Paulo",17128
131,"Corinthians",NA,"https://media.api-sports.io/football/teams/131.png","Brazil",FALSE,1910,"Arena Corinthians","grass","Avenida Miguel Inácio Curi, 111, Vila Carmosina, Itaquera","São Paulo, São Paulo",47605
144,"Atletico Goianiense",NA,"https://media.api-sports.io/football/teams/144.png","Brazil",FALSE,1937,"Estádio Antônio Accioly","grass","Avenida Perimetral 923 / Avenida 24 de Outubro, Bairro Campinas","Goiânia, Goiás",10525
130,"Gremio",NA,"https://media.api-sports.io/football/teams/130.png","Brazil",FALSE,1903,"Arena do Grêmio","grass","Bairro Humaitá","Porto Alegre, Rio Grande do Sul",60540
124,"Fluminense",NA,"https://media.api-sports.io/football/teams/124.png","Brazil",FALSE,1902,"Estadio Jornalista Mário Filho (Maracanã)","grass","Rua Professor Eurico Rabelo, Maracanã","Rio de Janeiro, Rio de Janeiro",78838
123,"Sport Recife",NA,"https://media.api-sports.io/football/teams/123.png","Brazil",FALSE,1905,"Estádio Adelmar da Costa Carvalho","grass","Praça da Bandeira","Recife, Pernambuco",32983
129,"Ceara",NA,"https://media.api-sports.io/football/teams/129.png","Brazil",FALSE,1914,"Estádio Governador Plácido Aderaldo Castelo","grass","Avenida Alberto Craveiro, Passaré","Fortaleza, Ceará",63903
147,"Coritiba",NA,"https://media.api-sports.io/football/teams/147.png","Brazil",FALSE,1909,"Estádio Major Antônio Couto Pereira","grass","Rua Ubaldino do Amaral 37, Bairro Alto da Glória","Curitiba, Paraná",45563
119,"Internacional",NA,"https://media.api-sports.io/football/teams/119.png","Brazil",FALSE,1909,"Estádio José Pinheiro Borda","grass","Avenida Padre Cacique 891, Bairro Menino Deus","Porto Alegre, Rio Grande do Sul",50128
154,"Fortaleza EC",NA,"https://media.api-sports.io/football/teams/154.png","Brazil",FALSE,1918,"Estádio Governador Plácido Aderaldo Castelo","grass","Avenida Alberto Craveiro, Passaré","Fortaleza, Ceará",63903
134,"Atletico Paranaense",NA,"https://media.api-sports.io/football/teams/134.png","Brazil",FALSE,1924,"Estádio Joaquim Américo Guimarães","grass","Rua Buenos Aires 1260, Água Verde","Curitiba, Paraná",43981
151,"Goias",NA,"https://media.api-sports.io/football/teams/151.png","Brazil",FALSE,1943,"Estádio de Hailé Pinheiro","grass","Avenida Edmundo Pinheiro de Abreu 721, Setor Bela Vista","Goiânia, Goiás",10000
126,"Sao Paulo",NA,"https://media.api-sports.io/football/teams/126.png","Brazil",FALSE,1930,"Estádio Cícero Pompeu de Toledo (Morumbi)","grass","Praca Roberto Gomes Pedrosa 1, Morumbi","São Paulo, São Paulo",73501
